YEL009C,GO:1990139
YIL095W,GO:0120133
YOR311C,GO:2001210
YMR228W,GO:0032786
YER145C-A,GO:0008150
YER038W-A,GO:0008150
YMR033W,GO:0006338
YHR054C-B,GO:0008150
YKL104W-A,GO:0008150
YDR157W,GO:0008150
YEL009C-A,GO:0008150
YLR236C,GO:0008150
YER089C,GO:0035970
YEL066W,GO:0006473
YPL153C,GO:1901857
YMR084W,GO:0008150
YHR052C-B,GO:0008150
YMR008C-A,GO:0008150
YLR379W-A,GO:0008150
YSC0042,GO:0007155
YPR010C-A,GO:0008150
YAR023C,GO:0008150
YFL026W,GO:0000750
YFL026W,GO:0000755
YFL026W,GO:0030031
YNL083W,GO:0006839
YNL083W,GO:0015866
YNL083W,GO:0015867
YBR056W-A,GO:0008150
YMR316C-A,GO:0008150
YPL228W,GO:0006370
YJR072C,GO:0006606
YPL228W,GO:0032968
YPL228W,GO:1900182
YDR110W,GO:0000183
YDR110W,GO:0006310
YDR110W,GO:0006325
YDR110W,GO:0007059
YDR110W,GO:0008156
YDR110W,GO:0031582
YDR110W,GO:0034503
YDR110W,GO:0043007
YDR110W,GO:0045911
YDR110W,GO:0070550
YAL065C,GO:0008150
YAL064W-B,GO:0008150
YPL081W,GO:0000462
YPL081W,GO:0002181
YLR243W,GO:0006606
YPR193C,GO:0006473
YOL075C,GO:0008150
YSC0047,GO:0009102
YSC0043,GO:0009102
YKL010C,GO:0006511
YKL010C,GO:0035519
YSC0049,GO:0009102
YDR204W,GO:0006744
YAR009C,GO:0032197
YHR021W-A,GO:0008150
YSC0048,GO:0009102
YSC0050,GO:0035725
YDL115C,GO:0006606
YHR214C-B,GO:0032197
YBR136W,GO:1901857
YLR036C,GO:0008150
YOR262W,GO:0006606
YDR168W,GO:0043410
YLR170C,GO:0016192
YHR139C-A,GO:0008150
YHR167W,GO:0000723
YHR167W,GO:0006310
YHR167W,GO:0006368
YHR167W,GO:0006406
YDL060W,GO:0000462
YLR302C,GO:0008150
YMR185W,GO:0006606
YDL159W,GO:0071507
YJL200C,GO:0006099
YSC0001,GO:0008380
YLR390W-A,GO:0031505
YSC0053,GO:0008150
YLR331C,GO:0008150
YLR462W,GO:0008150
YLR466W,GO:0000722
YER049W,GO:0006415
YER049W,GO:0006450
YER049W,GO:0018188
YLR421C,GO:0006511
YLR358C,GO:0008150
YLR261C,GO:0006623
YSC0002,GO:0008150
YSC0044,GO:0008150
YSC0051,GO:0005998
YMR288W,GO:0000245
YLR255C,GO:0008150
YLR415C,GO:0008150
YPR089W,GO:0008150
YGL192W,GO:1902974
YSC0045,GO:0015828
YSC0029,GO:0006526
YPL249C-A,GO:0002181
YPL183W-A,GO:0032543
YPL183W-A,GO:0042254
YOR298C-A,GO:0045944
YOR304C-A,GO:0051017
YBR085C-A,GO:0008150
YSC0029,GO:0006562
YGR264C,GO:0006431
YPL187W,GO:0019953
YGR227W,GO:0006488
YDL190C,GO:0070936
YSC0018,GO:0008150
YER091C,GO:0008652
YGR217W,GO:0055085
YGR217W,GO:0006811
YDL164C,GO:0006281
YSC0017,GO:0007532
YLR394W,GO:0007131
YKL053C-A,GO:0007005
YKL053C-A,GO:0015914
YKL053C-A,GO:0033108
YKL053C-A,GO:0045332
YDR261C-C,GO:0032197
YPL248C,GO:0006355
YEL020W-A,GO:0045039
YDL045W-A,GO:0032543
YBL016W,GO:0071507
YOL010W,GO:0000447
YSC0032,GO:0008150
YDR174W,GO:0070550
YSC0037,GO:0036008
YSC0038,GO:0036008
YSC0041,GO:0036008
YDR363W-A,GO:0006406
YDR363W-A,GO:0006511
YSC0039,GO:0036008
YDR363W-A,GO:0016578
YDR363W-A,GO:0030447
YDR363W-A,GO:0035753
YDR363W-A,GO:0043161
YDR363W-A,GO:0043248
YDR363W-A,GO:0051726
YDR363W-A,GO:0072742
YJR048W,GO:0006122
YJR048W,GO:0006123
YEL039C,GO:0006122
