RAD6,GO:0017116
DED1,GO:0003724
OST3,GO:0015035
SWC4,GO:0005515
DED1,GO:0003724
YAF9,GO:0005515
NSI1,GO:0003677
PTC2,GO:1990439
STE2,GO:0004934
STE2,GO:0004934
RPS9A,GO:0003735
RPS9A,GO:0019843
BIO1,GO:0042410
BIO6,GO:0008710
BIO7,GO:0042410
YHR214C-B,GO:0004540
YHR214C-B,GO:0008233
SRS2,GO:0043138
THP2,GO:0003676
MSS116,GO:0003724
STN1,GO:0061770
STE7,GO:0004708
ADR1,GO:0003713
ADR1,GO:0003713
YRF1-4,GO:0003678
RPN13,GO:0043130
HCA4,GO:0003724
TAT3,GO:0005302
HSH155,GO:0003729
CTF18,GO:0005524
ACS1,GO:0016208
MPR1,GO:0046941
KSS1,GO:0004707
CYC8,GO:0003713
CYC8,GO:0003714
RPL36B,GO:0003735
RTC6,GO:0003735
MBF1,GO:0003713
MDM35,GO:0005515
CYC8,GO:0003714
YDR261C-C,GO:0003723
TIM9,GO:0051082
MRP10,GO:0003735
MRP10,GO:0003735
GAL10,GO:0030246
SUC1,GO:0004564
CYC1,GO:0009055
RPS9B,GO:0019843
QCR6,GO:0008121
PRP22,GO:0003724
TEN1,GO:0003711
TEN1,GO:0061770
PGS1,GO:0008444
MEL6,GO:0004557
CYB2,GO:0004460
MEL1,GO:0004557
MEL3,GO:0004557
MEL1,GO:0004557
MEL10,GO:0004557
MEL8,GO:0004557
MEL9,GO:0004557
MEL7,GO:0004557
MEL2,GO:0004557
TDH3,GO:0004365
MAL63,GO:0003700
MAL43,GO:0003700
MAL22,GO:0032450
MAL41,GO:0005363
MAL62,GO:0032450
TDH1,GO:0004365
LEU4,GO:0046912
CDC10,GO:0005200
LEU4,GO:0003852
SRY1,GO:0030170
LEU1,GO:0051539
MAL61,GO:0005363
MAL23,GO:0003700
MAL33,GO:0003700
TUB2,GO:0003924
TUB2,GO:0005200
SFP1,GO:0000981
CCP1,GO:0004130
CCP1,GO:0004130
CCP1,GO:0004130
CCP1,GO:0004130
SFP1,GO:0000981
NOP12,GO:0019843
COX5A,GO:0004129
SOD1,GO:0004784
SEC4,GO:0005525
SGA1,GO:0004339
AAD3,GO:0047681
MSF1,GO:0005524
MSF1,GO:0005524
SOD2,GO:0004784
SOD2,GO:0004784
HIS1,GO:0003879
CDC28,GO:0004674
CDC28,GO:0004674
SPB4,GO:0003724
CIT1,GO:0046912
CIT1,GO:0046912
CIT1,GO:0046912
LEU2,GO:0000287
CDC28,GO:0004674
CDC28,GO:0004674
CDC28,GO:0004674
CDC28,GO:0004674
CDC28,GO:0004674
CDC28,GO:0004674
CDC28,GO:0004674
CDC28,GO:0004693
CDC28,GO:0004693
CDC28,GO:0042393
CDC19,GO:0004743
CDC19,GO:0004743
PGK1,GO:0004618
STE5,GO:0005078
MET17,GO:0030170
CDC8,GO:0004798
CDC8,GO:0004798
CDC8,GO:0009041
PHO5,GO:0003993
PHO5,GO:0017111
PHO5,GO:0017111
PHO5,GO:0017111
PHO5,GO:0047429
PHO5,GO:0047429
RPL36A,GO:0003735
HEM4,GO:0004852
HEM4,GO:0004852
HEM4,GO:0004852
LEU4,GO:0003824
MCM4,GO:0003678
SUC2,GO:0004564
SUC2,GO:0004564
SUC2,GO:0004564
SUC2,GO:0051670
MVD1,GO:0016831
EMT4,GO:0030533
EMT2,GO:0030533
RPS6A,GO:0003735
RPS6A,GO:0003735
RPS6A,GO:0003735
CAR1,GO:0004053
CAR1,GO:0004053
CAR1,GO:0008270
CAR1,GO:0030145
CAR1,GO:0090369
CAR1,GO:0090369
HIS4,GO:0004399
HIS4,GO:0004399
HIS4,GO:0004635
MCM4,GO:0043138
TRT2,GO:0030533
YNCQ0026W,GO:0030533
HIS4,GO:0004635
HIS4,GO:0004636
HIS4,GO:0004636
NAM7,GO:0003724
HSF1,GO:0043565
MCM1,GO:0046983
MCM1,GO:0046983
IPP1,GO:0004427
ATP2,GO:0046961
ATP2,GO:0016887
ATP2,GO:0016887
HMG1,GO:0004420
HMG1,GO:0004420
HMG1,GO:0004420
HMG1,GO:0004420
HMG1,GO:0004420
DAL7,GO:0004474
DAL7,GO:0004474
DAL7,GO:0004474
POL2,GO:0003677
POL2,GO:0003677
POL2,GO:0008270
PDH1,GO:0047547
PDH1,GO:0051537
CIT1,GO:0004108
CIT1,GO:0004108
TRP2,GO:0004049
CDC3,GO:0005200
TRP2,GO:0004049
ATP8,GO:0046933
ATP8,GO:0046933
CDC3,GO:0005200
TUB3,GO:0005200
TRP1,GO:0004640
TRP1,GO:0004640
ENO1,GO:0004634
ENO2,GO:0004634
CDC11,GO:0005200
CUP2,GO:0003677
CUP2,GO:0003677
CDC11,GO:0005200
RDI1,GO:0005094
ILV1,GO:0004794
TRP5,GO:0004834
