id,point,relationship1,relationship2,relationship3
GO:0000054,1GO:0051169 ,,,
GO:0000278,1GO:0008150 ,2GO:0048285 ,,
GO:0000747,1GO:0008150 ,2GO:0061025,,
GO:0000902,1GO:0008150 ,1GO:0008150 ,,
GO:0000910,1GO:0008150 ,2GO:0008150 ,1GO:0008150 ,
GO:0001403,1GO:0008150 ,,,
GO:0002181,1GO:0008150 ,2GO:0006414,,
GO:0005975,1GO:0008150 ,,,
GO:0006091,1GO:0008150 ,,,
GO:0006260,1GO:0008150 ,2GO:0008150 ,,
GO:0006281,1GO:0006974,,,
GO:0006310,1GO:0008150 ,,,
GO:0006325,1GO:0008150 ,,,
GO:0006352,1GO:0008150 ,1GO:0008150 ,,
GO:0006353,1GO:0008150 ,1GO:0008150 ,,
GO:0006354,1GO:0008150 ,1GO:0008150 ,,
GO:0006360,1GO:0008150 ,1GO:0008150 ,,
GO:0006364,1GO:0008150 ,1GO:0008150 ,,
GO:0006366,1GO:0008150 ,1GO:0008150 ,,
GO:0006383,1GO:0008150 ,1GO:0008150 ,,
GO:0006397,1GO:0008150 ,1GO:0008150 ,,
GO:0006401,1GO:0008150 ,,,
GO:0006413,1GO:0008150 ,1GO:0008150 ,,
GO:0006414,1GO:0008150 ,1GO:0008150 ,,
GO:0006417,1GO:0008150 ,,,
GO:0006418,1GO:0006520 ,1GO:0008150 ,,
GO:0006457,1GO:0008150 ,,,
GO:0006468,1GO:0008150 ,,,
GO:0006470,1GO:0008150 ,,,
GO:0006486,1GO:0008150 ,1GO:0008150 ,,
GO:0006497,1GO:0008150 ,1GO:0008150 ,,
GO:0006520,1GO:0008150 ,,,
GO:0006605,1GO:0015031,,1GO:0008150 ,
GO:0006629,1GO:0008150 ,,,
GO:0006766,1GO:0008150 ,,,
GO:0006811,1GO:0008150 ,,,
GO:0006865,1GO:0008150 ,,,
GO:0006869,1GO:0008150 ,1GO:0008150 ,,
GO:0006873,1GO:0008150 ,,,
GO:0006887,1GO:0008150 ,2GO:0016050 ,2GO:0048284,2GO:0061025
GO:0006897,1GO:0008150 ,2GO:0010324 ,2GO:0016050 ,
GO:0006970,1GO:0008150 ,,,
GO:0006974,1GO:0008150 ,,,
GO:0006979,1GO:0008150 ,,,
GO:0006997,1GO:0008150 ,,,
GO:0007005,1GO:0008150 ,,,
GO:0007010,1GO:0008150 ,,,
GO:0007031,1GO:0008150 ,,,
GO:0007033,1GO:0008150 ,,,
GO:0007059,1GO:0008150 ,,,
GO:0007114,1GO:0008150 ,,,
GO:0007124,1GO:0008150 ,,,
GO:0008033,1GO:0008150 ,1GO:0008150 ,,
GO:0008150,1GO:0016740 ,,,
GO:0008213,1GO:0008150 ,,,
GO:0008380,1GO:0008150 ,1GO:0008150 ,,
GO:0008643,1GO:0008150 ,,,
GO:0009311,1GO:0005975 ,,,
GO:0009408,1GO:0008150 ,,,
GO:0009451,1GO:0008150 ,,,
GO:0010324,1GO:0008150     ,,,
GO:0015031,1GO:0008150 ,,,
GO:0015931,1GO:0008150 ,,,
GO:0016050,1GO:0008150 ,,,
GO:0016197,1GO:0008150 ,,1GO:0008150 ,
GO:0016570,1GO:0008150 ,,,
GO:0018193,1GO:0008150 ,,,
GO:0023052,1GO:0008150    ,,,
GO:0031399,1GO:0008150 ,,,
GO:0032196,1GO:0008150 ,,,
GO:0032200,1GO:0008150 ,,,
GO:0032543,1GO:0008150 ,2GO:0006414 ,,1GO:0008150 
GO:0032787,1GO:0008150 ,,,
GO:0033043,1GO:0008150 ,,,
GO:0042221,1GO:0008150 ,,,
GO:0042255,1GO:0070925 ,,,
GO:0042273,1GO:0008150 ,1GO:0008150 ,,
GO:0042274,1GO:0008150 ,1GO:0008150 ,,
GO:0042594,1GO:0008150 ,,,
GO:0043144,1GO:0008150 ,1GO:0008150 ,,
GO:0043543,1GO:0008150 ,,,
GO:0043934,1GO:0008150 ,,,
GO:0045333,1GO:0006091,,,
GO:0048193,1GO:0008150 ,,,
GO:0048284,1GO:0008150 ,,,
GO:0048285,1GO:0008150 ,,,
GO:0048308,1GO:0008150 ,,,
GO:0051049,1GO:0008150 ,,,
GO:0051052,1GO:0008150 ,,,
GO:0051169,1GO:0008150 ,,1GO:0008150 ,
GO:0051321,1GO:0008150 ,2GO:0048285,1GO:0008150 ,
GO:0051603,1GO:0008150 ,1GO:0008150 ,,
GO:0051604,1GO:0008150 ,1GO:0008150 ,,
GO:0051726,1GO:0008150 ,,,
GO:0055085,1GO:0008150     ,,,
GO:0055086,1GO:0008150 ,,,
GO:0061025,1GO:0008150,,,
GO:0070647,1GO:0008150  ,,,
GO:0070925,1GO:0008150 ,1GO:0008150     ,,
